,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,category
A3GALT2,2.5913428905390794,-1.2381527611621619,0.2901343761185462,-4.267514858895122,1.9766260909891697e-05,0.003166159672546452,Downregulated
ABO,12.285886236234042,-1.2317038011294976,0.239489768612227,-5.1430330751366125,2.703380055365875e-07,0.0003541431707022172,Downregulated
ADGRE1,10.500096268362881,-1.309906853156262,0.4575935866477998,-2.8625988024706954,0.0042018223309938365,0.04680444373981869,Downregulated
ALDH1L1-AS1,1.137534747881821,-1.3572174367282923,0.4028706908294763,-3.368866158850865,0.0007547807019318688,0.019029502544928658,Downregulated
ALLC,5.608098213552818,-1.4068988023398905,0.38268158954501236,-3.6764214448168695,0.00023652864563970417,0.010763397289365857,Downregulated
AMN,2.979769205014091,-1.0024059820495936,0.29924161053252435,-3.349821504655493,0.0008086365127660279,0.019904601950148353,Downregulated
ANKRD20A19P,10.843610341134216,-1.1037177533181606,0.3514793291465734,-3.1402067256646258,0.0016882865326730205,0.028728371473466477,Downregulated
ANKRD20A9P,12.357415105174049,-2.019903960267064,0.2665227085269667,-7.57873117615676,3.489506868171752e-14,8.384238152156269e-10,Downregulated
APCDD1L-AS1,4.434497064356912,-1.01647333484664,0.23535929407080092,-4.318815362102776,1.5686894815936895e-05,0.0027971826831724366,Downregulated
AQP7P1,37.37138165498631,-1.052514037658853,0.28449128572801186,-3.699635421048046,0.0002159094078387675,0.010238263670416727,Downregulated
AQP8,3.4721989331380727,-1.0036385964507246,0.2410695962806569,-4.163273228708083,3.137175872227645e-05,0.003806915387980486,Downregulated
ARAP3,132.35407468955196,-1.157553206870223,0.2130153754071327,-5.434129835265699,5.5064477414516165e-08,0.00018123006963980014,Downregulated
ARL5C,2.4273019598135432,-1.062307105095029,0.3221718886160554,-3.297330222256049,0.0009760866627777731,0.02172181278426856,Downregulated
ATP2A1,9.193496249146234,-1.2349550929782012,0.23876790164920852,-5.17219896161991,2.3135504448816756e-07,0.00033315133786262087,Downregulated
ATP4A,10.268345405705185,-1.0084676555848242,0.2953830910229748,-3.41410082781748,0.0006399288884983568,0.018138351249941738,Downregulated
BEAN1-AS1,8.019163736022506,-1.081034052577674,0.2676336607376467,-4.039230527274293,5.362683926596643e-05,0.004798641196732185,Downregulated
C10orf53,1.3382955282931286,-1.2948980940819506,0.3314651510224152,-3.9065889433257,9.360819647076108e-05,0.006576386364336188,Downregulated
C11orf96,171.47667707922372,-1.0527800965043574,0.26628310984171527,-3.953611992627523,7.698020717063759e-05,0.00587393880090712,Downregulated
C12orf56,0.9962517116452201,-1.268370300701318,0.37413621662839214,-3.39012970230871,0.0006985956278182773,0.01866303889780948,Downregulated
C16orf47,2.1384792919569735,-1.050410415829724,0.3121464980595156,-3.3651199752670196,0.0007651038259027993,0.01913452292753027,Downregulated
C1QTNF9B,4.06118758533322,-1.0293934237861555,0.3225880473107847,-3.1910463898695753,0.001417585170417225,0.026075897745495784,Downregulated
CALCB,2.5949271313217395,-1.6755337738609724,0.32162021596520546,-5.209665595281612,1.8918129400931404e-07,0.00032467563936869917,Downregulated
CALML6,3.158082174441738,-1.0579112941488473,0.32151984192786176,-3.2903452794873136,0.0010006451420775907,0.021996798562395493,Downregulated
CARMN,6.447178280183683,-1.6113605032332547,0.3955529881009488,-4.073690634899263,4.627394077888791e-05,0.004517224122454137,Downregulated
CASR,0.6513919830769067,-2.1564977545696022,0.5280109790585672,-4.084191124992503,4.423061585007252e-05,0.004446533498645597,Downregulated
CATSPER1,1.450464981745611,-1.0318121754314065,0.3649830409136472,-2.82701402467499,0.0046984270111531095,0.04974865302408979,Downregulated
CATSPERD,0.8664134248663342,-1.2462946453766648,0.42624906492358994,-2.923864819738848,0.0034571484613753686,0.04157402706780079,Downregulated
CCDC188,2.5440251088828543,-1.214389211678706,0.30228740088573886,-4.017333200525057,5.886047023580168e-05,0.005180368199104788,Downregulated
CCL20,0.9101019476165179,-2.3071371018708455,0.5523931638331014,-4.176621386588915,2.958708840325263e-05,0.0036906479807912876,Downregulated
CCL25,0.7149760057694958,-1.306742316348571,0.4573193617067672,-2.8573955659162604,0.0042713316565940965,0.047228387350661004,Downregulated
CCL8,1.0944563280324802,-3.0873925496114456,0.555548009624275,-5.557382073422409,2.738508798808718e-08,0.00013159630181795414,Downregulated
CD300E,4.349831313716968,-1.3540744756000207,0.3298870275324484,-4.104661179702894,4.049078847802369e-05,0.00428578050555716,Downregulated
CD69,13.247867460217538,-1.040805483217526,0.3580873004299839,-2.90656910191383,0.003654161786772742,0.04312305758879601,Downregulated
CDC42BPG,2.7254517135490315,-1.0020002533310657,0.27618349213644283,-3.6280236938855417,0.00028559905617531347,0.011724307198519482,Downregulated
CDHR4,0.4884982141360715,-1.8136326627746848,0.5184749355515271,-3.498014153462279,0.000468736256802106,0.015741855255755156,Downregulated
CHRNA3,3.949454951286272,-1.1811152649602357,0.3375057054759422,-3.4995416249175886,0.00046605883214163743,0.015737131258909007,Downregulated
CLDN3,0.7339045070709805,-1.4025440331130195,0.4559583128472924,-3.0760356672842444,0.002097727500759107,0.03175935643398807,Downregulated
CLMAT3,0.6680334569220261,-1.467701516552806,0.45740787480734746,-3.208736878810793,0.0013331943771698169,0.025463164785579643,Downregulated
COLEC11,17.01713140825029,-1.3137660548696204,0.2894128910086405,-4.539417889406998,5.640974150935132e-06,0.0016937464006185595,Downregulated
CSF3,5.875627230977005,-2.8369767234628633,0.5825292615643242,-4.870101659519121,1.1154084741023654e-06,0.0007198838792717038,Downregulated
CTRC,1.2400671644040824,-1.4525272522335146,0.3839908863466368,-3.782712829601605,0.00015512835229196563,0.00864795573206278,Downregulated
CXCL1,9.356679422960013,-1.553312732008774,0.36158885149774994,-4.295798185078834,1.7406588702848567e-05,0.002938889597800836,Downregulated
CXCL11,3.7651854385833166,-2.2565614868869757,0.44864348257602,-5.029743158042232,4.911372910295974e-07,0.00040412934830028665,Downregulated
CYP21A1P,5.708154083784243,-1.0037932573207131,0.2684713077281441,-3.7389219198692216,0.0001848111122120237,0.009528876809266723,Downregulated
CYP2D6,3.486823985114928,-1.0989422706206058,0.32936628466622286,-3.33653540687768,0.0008482962259221781,0.020380230221631747,Downregulated
DGKK,8.403632929459294,-1.5105064527340233,0.3685625628824392,-4.098371904408075,4.1606638961651894e-05,0.0043464465840504785,Downregulated
DLX4,4.40112121865812,-1.8938213330718885,0.41011817382535337,-4.617745454699996,3.8793169250110594e-06,0.0013221852207793243,Downregulated
DNAJB8-AS1,1.3568767957018855,-1.14623222780169,0.357296695225949,-3.2080683731956445,0.0013362972546838124,0.025488415058809315,Downregulated
DOK7,9.292648668522817,-1.1460281901585636,0.21241571199986684,-5.3952138444414235,6.844198925747092e-08,0.0001827172973210282,Downregulated
ELF3,2.2989324008962027,-1.5302485147108367,0.3017985175049861,-5.070430853543059,3.9691610655745673e-07,0.0003814681316902405,Downregulated
ESPNP,6.314721010207274,-1.109497240496355,0.278514856850019,-3.983619592307143,6.787349029527635e-05,0.005509447132853394,Downregulated
EXOC3L4,0.5700414793625553,-1.648475427886004,0.46933972610662233,-3.512328780605951,0.0004441981161431939,0.015400790961865108,Downregulated
FAM166A,1.5646048100731322,-1.3851482813912797,0.3447147892418424,-4.018244428786308,5.863335798374245e-05,0.005179351809835955,Downregulated
FAM47C,1.3053550393896851,-1.309516352785063,0.3164818227335139,-4.1377300644773864,3.507586785669574e-05,0.00405735169155387,Downregulated
FCN1,6.824133965838774,-1.1848333076159987,0.31291882448019515,-3.7863919167668603,0.00015285053472739464,0.008580700462371754,Downregulated
FGFBP2,1.5690210623346041,-1.6022395209656972,0.3898033074313922,-4.110379492476988,3.950093892351551e-05,0.00428578050555716,Downregulated
FOXE3,1.8978247936740238,-1.1158377536340198,0.3136915560530405,-3.5571175956210586,0.000374946337866144,0.013906839950545171,Downregulated
FXYD2,6.336297648646066,-1.0666277727275788,0.2779475923471613,-3.8375139849937696,0.00012428615837854052,0.0075409685034373555,Downregulated
GABRE,32.96060877797192,-1.2942911416436347,0.2997154671961866,-4.318399559928026,1.5716471562337325e-05,0.0027971826831724366,Downregulated
GOLGA6A,4.595329701972772,-1.030692622227417,0.3282501804301576,-3.1399605656781038,0.0016897057814411285,0.028732173255970272,Downregulated
GOLGA6L17P,2.429993214677231,-1.0783439176614005,0.36555654326371617,-2.9498690080441876,0.003179086844258487,0.03982477560323184,Downregulated
GP1BA,0.7906418440391106,-1.1794943118447077,0.3873630912056321,-3.0449321027815004,0.0023273284413534564,0.033484263748742214,Downregulated
GPR84,9.993707158757518,-1.1175483661986352,0.33725869508551215,-3.3136235847537754,0.0009209539765808141,0.021154647414251646,Downregulated
GPX2,0.597106379428452,-1.544693771594761,0.40830282205665847,-3.7832062090925507,0.0001548210440358899,0.00864795573206278,Downregulated
GZMA,0.7881061964870381,-1.520554017376864,0.4412549808207369,-3.4459758721558775,0.0005690011601950855,0.017132068766926464,Downregulated
HBD,0.8332094433976394,-1.7161308217877036,0.5207709749024472,-3.29536572599726,0.0009829366472478888,0.021786917733786923,Downregulated
HCAR2,2.2735467750230183,-1.5056687753214126,0.349456373981295,-4.308602982877644,1.6428897560259202e-05,0.0028812928589806415,Downregulated
HOTS,11.220036977973729,-1.4464597993688595,0.4199407711813287,-3.444437641288904,0.0005722486202461827,0.01716531535412613,Downregulated
IGFALS,8.747171343060494,-1.1178705907105708,0.22248139079926582,-5.024557724556708,5.04594017106114e-07,0.00040412934830028665,Downregulated
IL1B,55.77900211529838,-1.760516578624182,0.3970655711798988,-4.4338182567496975,9.257867724063777e-06,0.0021595998816124305,Downregulated
IL6,8.649075406665885,-1.7317822453580864,0.4083196044319127,-4.241241974574016,2.2228633131103725e-05,0.0033380460515064323,Downregulated
KHDC3L,1.2818829995564887,-1.1385870790507426,0.38561237124459247,-2.9526725902902666,0.0031503590596449736,0.03961364563929303,Downregulated
KIAA0087,0.7466221249883677,-1.8289525223173386,0.5055146670863643,-3.618000903631294,0.0002968873602146795,0.011980844214013929,Downregulated
KRTAP5-10,1.1260441562539525,-1.5056791616903715,0.34453487669633354,-4.370179228669057,1.2414459801703516e-05,0.0025250513971371486,Downregulated
KRTAP5-8,3.367261469534293,-1.0755144388321922,0.2784843948164363,-3.862027671392935,0.00011244982600664014,0.007204885251897448,Downregulated
KRTAP5-9,4.420887360185856,-1.1760112945435033,0.2541972300293601,-4.626373365310363,3.7212421566089613e-06,0.0013221852207793243,Downregulated
LARGE2,0.4131691829562733,-1.8278984794906508,0.5859143956864815,-3.1197364204527,0.0018101293452197679,0.029715037121951133,Downregulated
LEFTY2,1.3311167703436373,-1.0820995763068288,0.3732733083939572,-2.8989471038330117,0.0037441805519442552,0.043713035044492046,Downregulated
LGALS13,0.8127734242034937,-1.8261378469063523,0.5278650239158438,-3.4594787761454127,0.0005412219285368823,0.016604086263923547,Downregulated
LGALS17A,0.8033073484155807,-1.759187354980967,0.5082910300368683,-3.4609844577689404,0.0005382038836205277,0.016604086263923547,Downregulated
LGR6,15.264879207557184,-1.5283445863874106,0.33128660090428563,-4.613360704041802,3.962098301748506e-06,0.0013221852207793243,Downregulated
LILRA3,0.9517697119140219,-1.8990892233382026,0.5321308970460229,-3.56883848293807,0.0003585673857278257,0.013473943345245813,Downregulated
LINC00417,0.8542745977293474,-2.1707815651782076,0.5194519166141321,-4.178984610024537,2.9281349757698664e-05,0.0036906479807912876,Downregulated
LINC00487,2.7930086089380803,-1.2692695007304766,0.29877920581111,-4.248185536489164,2.1550888311268184e-05,0.003307916606070655,Downregulated
LINC00694,4.356190843888294,-1.4299776462015499,0.3466064981373827,-4.125651578623193,3.69686597539018e-05,0.00418983956559905,Downregulated
LINC01219,6.553801079406492,-1.4524380658048623,0.4059555088146486,-3.577825732789889,0.0003464643144382109,0.013171674181972933,Downregulated
LINC01471,2.1884088714634546,-1.2977514130711938,0.42619776579276225,-3.04495123445162,0.0023271804025940825,0.033484263748742214,Downregulated
LINC01565,1.419864269130224,-1.4186199136757744,0.40204108364406776,-3.528544647272161,0.0004178514535107208,0.014853596571360941,Downregulated
LINC01711,1.5911581805913917,-1.3061927464507024,0.3748470662205098,-3.4846017593807543,0.0004928700093372769,0.01611182001951939,Downregulated
LINC01749,1.1479172359357148,-1.2572999496510775,0.4033681779382169,-3.1170033195916993,0.0018269951490447326,0.029841748773689867,Downregulated
LINC01833,17.279210023223683,-1.6361698527796313,0.5207803154163051,-3.1417659315170123,0.001679322287657229,0.02859608547522342,Downregulated
LINC01879,1.3468310476515724,-1.1252490971781555,0.3920698778074272,-2.8700218019065558,0.004104434980493464,0.04595411782372762,Downregulated
LOC100288162,5.684291485800995,-1.7186865028145106,0.5652061947854933,-3.0408132795975202,0.0023594009791806096,0.03370352397548901,Downregulated
LOC100506358,0.878491208629016,-2.023682494660322,0.5401131375649133,-3.74677517340912,0.00017912249246489502,0.009295412800116701,Downregulated
LOC101060391,1.055309001438345,-1.2206996873748475,0.3803757836188841,-3.2091940127238026,0.0013310764126686497,0.02545684333462473,Downregulated
LOC101928087,2.2007172419288663,-1.1914836817174383,0.4138163672489715,-2.879257023201756,0.003986133245296056,0.045198123400060575,Downregulated
LOC101928160,1.0891365525593442,-1.3589325941793553,0.4153221646878756,-3.271996319292579,0.0010679096633013111,0.022909522750125536,Downregulated
LOC101928517,2.5473947433801625,-1.2427251549905527,0.35952522829433126,-3.4565728833170373,0.0005470912389313629,0.016707084222401095,Downregulated
LOC101928882,3.1358001574009506,-1.1171953509244918,0.38812552343353635,-2.878438246063463,0.003996495179634607,0.04523849556139806,Downregulated
LOC101928932,1.2747480476348978,-1.9577562591590996,0.5121946736426652,-3.822289375318527,0.00013221839992793368,0.007843979000169043,Downregulated
LOC101929719,8.907896698942993,-1.4333130004322088,0.36537627635488995,-3.9228408990627295,8.751094331851876e-05,0.006414048367494639,Downregulated
LOC101929829,2.86934655355697,-1.299402352595194,0.32352704327550436,-4.0163639473213015,5.910295870700278e-05,0.005182725506763342,Downregulated
LOC105369921,1.4179624156351691,-1.0006856748300426,0.31828032412812574,-3.1440387575677162,0.0016663336847049088,0.028483802609722286,Downregulated
LOC339685,8.87244935583106,-1.1160367523211527,0.33073957573904267,-3.374367128056422,0.0007398562356395029,0.01896126644578752,Downregulated
LOC692247,1.4052374280370112,-1.559929321684369,0.3857913704777023,-4.043453122740413,5.266969062291232e-05,0.004793540365896645,Downregulated
LOC729815,6.951628586562203,-1.1586723236068837,0.30200938863611143,-3.8365440519564706,0.00012477782242720714,0.007551729822313617,Downregulated
LOC729968,2.1879937179751567,-1.3931781899250102,0.43885725549742377,-3.1745588627580266,0.0015006445044813371,0.026907451872517228,Downregulated
LRRC14B,2.830418479011722,-1.0502530258754454,0.2921868825048732,-3.594456454963987,0.0003250695048917189,0.012770468864365803,Downregulated
LY6G5B,31.311667561085475,-1.0069105697469887,0.21897994261087939,-4.598186289308869,4.261848406467986e-06,0.001365325755496084,Downregulated
MAP3K15,6.3169588920515105,-1.0735078041475847,0.21810215877757644,-4.922041167150311,8.564619141447194e-07,0.0005879488688901478,Downregulated
MIR127,3.385810353307829,-1.0270871259645555,0.2737815789389001,-3.7514836825225952,0.00017579119594189589,0.009182032749773767,Downregulated
MIR3170,1.587556522726146,-1.0640785779608843,0.325387788959101,-3.2701859567773512,0.0010747680603233579,0.022949334234661594,Downregulated
MIR3180-5,1.283754572957579,-1.0286683782464798,0.3012691173249642,-3.414450134750804,0.0006391089113678178,0.018138351249941738,Downregulated
MIR4487,1.3577552454397308,-1.3530741358359943,0.36790124111481626,-3.6778188943747567,0.00023523688334602008,0.010730630347584562,Downregulated
MIR4673,0.8261105232000581,-1.565714263354715,0.4348660421906112,-3.600451889661296,0.0003176646056088901,0.012574180360732786,Downregulated
MIR6757,4.888058762242381,-1.0086498520531872,0.2768058578134115,-3.643889114272629,0.0002685491530372976,0.011513913803275927,Downregulated
MIR6855,0.7957545041169811,-1.1686832738270068,0.40623982579140117,-2.8768308758263164,0.004016908217901676,0.04533313938540327,Downregulated
MROH5,0.4887791569738496,-1.4816687874680339,0.5162433472621603,-2.87009759123464,0.004103451301035946,0.04595411782372762,Downregulated
MUC1,21.216666033151775,-1.0046518189275147,0.2641626185841256,-3.8031566476449497,0.00014286395417956296,0.008214198301129643,Downregulated
MYBPH,5.915803642534019,-2.0349016701790914,0.42512710164494766,-4.7865724445828794,1.6965371822903237e-06,0.0008492228933102002,Downregulated
NALT1,1.5368278450199595,-1.4298672286258693,0.3854220364162573,-3.7098740952154774,0.00020736234467141733,0.010061098825981447,Downregulated
NANOG,1.7441914072724378,-1.1669138582195835,0.36375176597104864,-3.2079950322838,0.001336638072755639,0.025488415058809315,Downregulated
NANOGP8,11.679918812275476,-1.0562712189353705,0.22878613027122702,-4.616849883702111,3.896088864537784e-06,0.0013221852207793243,Downregulated
NKG7,1.9986605203213246,-1.358454204696366,0.3726921442204627,-3.6449767610148083,0.00026741596467013697,0.011513913803275927,Downregulated
NKX2-1-AS1,0.9214788067834179,-2.086816419671423,0.4347339180845016,-4.800215333706253,1.5849511828945555e-06,0.0008346303765424616,Downregulated
NKX2-4,2.0787486229452212,-1.9295238006755855,0.481231879962339,-4.009551073022405,6.0834294505885615e-05,0.005184607160198882,Downregulated
NLRP6,2.8055305292663295,-1.210775460195323,0.42355400425274536,-2.8586094052668254,0.004255023528888354,0.04711311075050714,Downregulated
NTRK1,4.000844697545452,-1.15144153820078,0.26302187931472765,-4.3777405180159334,1.1991599598587412e-05,0.002483811754786722,Downregulated
NXF2,0.8798625111030084,-1.6630561053072048,0.4777260535202201,-3.4811919782323844,0.0004991875634700474,0.01620808052364166,Downregulated
NXF2B,0.8798625111030084,-1.6630561053072048,0.4777260535202201,-3.4811919782323844,0.0004991875634700474,0.01620808052364166,Downregulated
ODF3B,12.34576827144831,-1.4012706888370814,0.372988903658487,-3.7568696416773326,0.0001720520622242777,0.009148557899213525,Downregulated
OSM,6.687262698264527,-1.000937174991147,0.3071285520700656,-3.2590170084961754,0.0011179896510585669,0.02325708861124172,Downregulated
PGR-AS1,1.4933177997136915,-1.398364243851292,0.38481041627649704,-3.6339043453712754,0.0002791643950466175,0.01163570556224454,Downregulated
PIK3CD-AS2,1.2482694347234202,-1.1073380653803084,0.3238383311390412,-3.4194162917201694,0.0006275563762909672,0.018017642836285735,Downregulated
POU2F3,1.1614053153998176,-1.1250388142650227,0.38636744776391047,-2.911836441646805,0.0035931072438294964,0.04269613637363566,Downregulated
PRF1,3.8588622950358213,-1.1118416495842574,0.3332726499228841,-3.336132292408412,0.000849527275969594,0.020380230221631747,Downregulated
PROZ,1.1151666627344838,-1.2813752098035578,0.36771383696045407,-3.484707620456947,0.0004926750711714175,0.01611182001951939,Downregulated
PRSS46P,1.442454161962174,-1.3841124571012369,0.327731130246984,-4.223317010069031,2.4073283731487637e-05,0.0033803804647516717,Downregulated
PZP,4.341849380150898,-1.3632864361126258,0.4110847747572557,-3.3163145896552417,0.0009121308913441523,0.02107285473685187,Downregulated
REELD1,5.294925021726897,-1.0277741822528255,0.29538512578597964,-3.4794378339737255,0.0005024669309566512,0.016270583490694688,Downregulated
RFPL3,0.9811580641009456,-1.3651350865063614,0.4581560876115092,-2.979628828295565,0.0028859784611412792,0.03793741892647233,Downregulated
RPL29P2,0.7107683237830277,-1.711168085680747,0.48880265665788464,-3.5007340127416735,0.0004639786819701039,0.015737131258909007,Downregulated
SBSN,1.9726008416429102,-1.2033745599653927,0.38675809301166403,-3.111439894107402,0.001861773707090053,0.03024066342476351,Downregulated
SCUBE1,18.019852143126855,-1.1410258212850766,0.2526768047070253,-4.515752138816531,6.309242647231968e-06,0.0017424387710924425,Downregulated
SECTM1,14.743755078959062,-1.066506871959401,0.3243987259868748,-3.2876419866166553,0.0010103022862307208,0.022148296561373657,Downregulated
SELE,12.086733644143576,-1.53098956049775,0.4751566018572593,-3.2220736374355816,0.0012726642216541525,0.024840213853520973,Downregulated
SIRPG,2.5510532258761347,-1.005925381703798,0.3277225614382248,-3.0694419611797565,0.002144590708387487,0.032182076006630714,Downregulated
SIX3,13.383596296936751,-1.6671028986476863,0.4274950223583343,-3.8997013098559297,9.631143004353589e-05,0.006637969496425102,Downregulated
SLAMF7,1.3283282350923862,-1.4861862112202715,0.44966056042461705,-3.305129117432174,0.0009493265506922581,0.021498085799701118,Downregulated
SLC1A7,8.254481587959326,-1.3967584960182662,0.4338327662430492,-3.2195781524619798,0.001283793615742724,0.024889291169357664,Downregulated
SLC26A10,29.907420466357113,-1.0106056805648127,0.27152873474046924,-3.721910616682109,0.00019772101797680728,0.009770097345255286,Downregulated
SLC2A14,4.6829394495047865,-1.4938485409477398,0.29138318673557645,-5.126749273640737,2.9478767278662937e-07,0.0003541431707022172,Downregulated
SLC5A4,13.144947689921786,-1.2576205669192622,0.28878274889128397,-4.354901986865946,1.3312647021155458e-05,0.0025643777774668843,Downregulated
SLC6A5,2.1087476730228896,-1.1778504176382967,0.41552940340323513,-2.8345777891806496,0.004588628504542015,0.04904402894956895,Downregulated
SNORD115-24,1.7081258314362964,-1.1612005960147207,0.360568464849974,-3.2204718637773135,0.0012797975462859456,0.024889291169357664,Downregulated
SPATA21,2.3075519218317164,-1.13881254002993,0.38273714450723134,-2.9754429544488947,0.0029256575834607393,0.03820290362902374,Downregulated
SPATA31A5,0.5890981948013901,-2.357830812372608,0.5669135975556001,-4.15906554815236,3.1955219634107107e-05,0.00381196560604699,Downregulated
SPATA31A7,0.5890981948013901,-2.357830812372608,0.5669135975556001,-4.15906554815236,3.1955219634107107e-05,0.00381196560604699,Downregulated
SPTA1,0.5067685791292145,-1.6764260611367212,0.5588922332911221,-2.9995515437114424,0.0027037737188144394,0.03668185835231764,Downregulated
STC1,36.68410455583568,-1.3211062265423321,0.40676590572379084,-3.247829299241742,0.0011628901357968807,0.02375054914670619,Downregulated
SYCE2,2.251853487988896,-1.0010266556186618,0.29709475387097406,-3.369385162732964,0.0007533607595885052,0.019013654380917032,Downregulated
TBX2,27.258322064556577,-1.034855346219814,0.24370019876227886,-4.246427994214645,2.172055407687763e-05,0.003307916606070655,Downregulated
TBX3,58.85888167030014,-1.4027176010286042,0.2515492759812977,-5.57631341039079,2.4566915283152232e-08,0.00013159630181795414,Downregulated
