,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color
LOC105369921,1.4179624156351691,-1.0006856748300423,0.31828032412812557,-3.1440387575677176,0.0016663336847049025,0.028483802609722286,blue
OSM,6.687262698264527,-1.0009371749911455,0.3071285520700658,-3.2590170084961687,0.0011179896510585946,0.0232570886112423,blue
SYCE2,2.251853487988896,-1.0010266556186613,0.2970947538709746,-3.369385162732956,0.0007533607595885277,0.0190136543809176,blue
CDC42BPG,2.7254517135490315,-1.002000253331065,0.2761834921364429,-3.628023693885538,0.0002855990561753175,0.011724307198519463,blue
AMN,2.979769205014091,-1.002405982049593,0.2992416105325244,-3.3498215046554902,0.0008086365127660359,0.019904601950145782,blue
AQP8,3.4721989331380727,-1.0036385964507248,0.24106959628065724,-4.1632732287080785,3.137175872227709e-05,0.003806915387980564,blue
CYP21A1P,5.708154083784243,-1.0037932573207151,0.2684713077281442,-3.738921919869228,0.00018481111221201898,0.00952887680926648,blue
MUC1,21.216666033151775,-1.0046518189275147,0.2641626185841256,-3.8031566476449497,0.00014286395417956296,0.008214198301129396,blue
TMEM92-AS1,2.921120524432899,-1.004731320178478,0.353618936682735,-2.841282567058669,0.004493248049932156,0.04832554650658903,blue
SIRPG,2.5510532258761347,-1.005925381703799,0.32772256143822465,-3.0694419611797614,0.0021445907083874516,0.03218207600662193,blue
LY6G5B,31.311667561085475,-1.0069105697469887,0.21897994261087939,-4.598186289308869,4.261848406467986e-06,0.001365325755496084,blue
ZDHHC19,5.376014635353368,-1.0084278045892636,0.24598356040079275,-4.099573983505987,4.139113415838098e-05,0.004342815635036768,blue
ATP4A,10.268345405705185,-1.0084676555848242,0.2953830910229748,-3.41410082781748,0.0006399288884983568,0.018138351249943365,blue
MIR6757,4.888058762242381,-1.0086498520531857,0.2768058578134111,-3.643889114272628,0.00026854915303729815,0.011513913803275143,blue
SLC26A10,29.907420466357113,-1.010605680564811,0.2715287347404692,-3.7219106166821034,0.00019772101797681178,0.009770097345255286,blue
TRIM73,8.069840075884393,-1.0119946476380914,0.24764244364505034,-4.086515351498464,4.379005239191821e-05,0.0044394244254034555,blue
APCDD1L-AS1,4.434497064356912,-1.0164733348466402,0.23535929407080056,-4.318815362102784,1.5686894815936342e-05,0.0027971826831723477,blue
MIR127,3.385810353307829,-1.0270871259645569,0.27378157893889976,-3.751483682522604,0.00017579119594188968,0.009182032749773443,blue
REELD1,5.294925021726897,-1.0277741822528283,0.29538512578597964,-3.4794378339737357,0.0005024669309566309,0.016270583490694032,blue
MIR3180-5,1.283754572957579,-1.0286683782464803,0.30126911732496486,-3.4144501347507985,0.0006391089113678313,0.018138351249943365,blue
C1QTNF9B,4.06118758533322,-1.029393423786154,0.3225880473107848,-3.1910463898695705,0.0014175851704172496,0.02607589774550545,blue
GOLGA6A,4.595329701972772,-1.0306926222274166,0.32825018043015763,-3.1399605656781016,0.0016897057814411426,0.028732173255970512,blue
CATSPER1,1.450464981745611,-1.0318121754314056,0.36498304091364303,-2.8270140246750204,0.004698427011152666,0.049748653024089734,blue
TBX2,27.258322064556577,-1.034855346219814,0.24370019876227886,-4.246427994214645,2.172055407687763e-05,0.0033079166060710308,blue
MIR4528,2.53962545628721,1.035140929972104,0.36290120934245806,2.8524041896903,0.004338989031306126,0.047604059111959945,red
TCP11X2,2.713131067266548,-1.037311983963438,0.32429767176541824,-3.198641477493495,0.001380767649324141,0.025878084485422104,blue
TPH1,6.784539950042888,-1.0400580460438171,0.2315219684863125,-4.492265044408971,7.0469644899948595e-06,0.0017886416327920927,blue
CD69,13.247867460217538,-1.040805483217526,0.35808730042998377,-2.90656910191383,0.003654161786772742,0.04312305758879601,blue
LRRC14B,2.830418479011722,-1.0502530258754457,0.29218688250487307,-3.594456454963989,0.00032506950489171734,0.012770468864365803,blue
C16orf47,2.1384792919569735,-1.0504104158297243,0.3121464980595178,-3.365119975266998,0.0007651038259028601,0.019134522927521342,blue
AQP7P1,37.37138165498631,-1.0525140376588578,0.28449128572801174,-3.699635421048064,0.00021590940783875192,0.010238263670416569,blue
C11orf96,171.47667707922372,-1.052780096504361,0.2662831098417151,-3.953611992627539,7.698020717063259e-05,0.005865932713870059,blue
NANOGP8,11.679918812275476,-1.0562712189353705,0.22878613027122702,-4.616849883702111,3.896088864537784e-06,0.0013221852207792927,blue
CALML6,3.158082174441738,-1.0579112941488478,0.3215198419278616,-3.2903452794873167,0.001000645142077579,0.021996798562395233,blue
ARL5C,2.4273019598135432,-1.062307105095028,0.3221718886160555,-3.2973302222560448,0.0009760866627777891,0.02172181278426856,blue
MIR3170,1.587556522726146,-1.064078577960885,0.3253877889591007,-3.2701859567773557,0.0010747680603233414,0.022949334234667766,blue
SECTM1,14.743755078959062,-1.0665068719594,0.3243987259868748,-3.2876419866166513,0.0010103022862307364,0.022148296561374,blue
FXYD2,6.336297648646066,-1.066627772727579,0.27794759234716127,-3.8375139849937705,0.0001242861583785399,0.007540968503437318,blue
TPSD1,3.637810631243669,-1.068348742752733,0.35751712005550895,-2.988244989741634,0.0028058454162877256,0.037386054638059864,blue
